id,snowflake,id of the message
channel_id,snowflake,id of the channel the message was sent in
author*,user object,"the author of this message (not guaranteed to be a valid user, see below)"
content,string,contents of the message
timestamp,ISO8601 timestamp,when this message was sent
edited_timestamp,?ISO8601 timestamp,when this message was edited (or null if never)
tts,bool,whether this was a TTS message
mention_everyone,bool,whether this message mentions everyone
mentions,array of user objects,users specifically mentioned in the message
mention_roles,array of role object ids,roles specifically mentioned in this message
attachments,array of attachment objects,any attached files
embeds,array of embed objects,any embedded content
reactions?,array of reaction objects,reactions to the message
nonce?,?snowflake,used for validating a message was sent
pinned,bool,whether this message is pinned
webhook_id?,snowflake,"if the message is generated by a webhook, this is the webhook's id"
type,message type object,type of message
activity?,message activity object,sent with Rich Presence-related chat embeds
application?,message application object,sent with Rich Presence-related chat embeds
